sequence_index,filename,simulation_time_s,relative_time_s,parcel_count,active_count,age_min_s,age_mean_s,age_max_s,velocity_mean_mps,velocity_max_mps,nParticle_sum,represented_mass_kg,rho_min_kgm3,rho_max_kgm3,diameter_min_m,diameter_max_m
1,kinematicCloud_00026890.vtp,1848.0,1.0030566623315735,2926,2926,0.010504398494958878,0.5044541973251434,1.0013288259506226,10.36148224635806,15.712057619783597,25770702.349609375,1.6529546609786328e-08,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
2,kinematicCloud_00026992.vtp,1849.0,2.0030566623315735,5874,5874,0.008804559707641602,1.003586832116205,1.99934983253479,12.254479973097146,19.36239744851511,51703759.77050781,3.3163229136467775e-08,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
3,kinematicCloud_00027093.vtp,1850.0,3.0030566623315735,8834,8834,0.010281900875270367,1.5054530992365798,3.0027413368225098,12.820742859616375,15.314065580304392,77776364.92773438,4.988641876235953e-08,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
4,kinematicCloud_00027197.vtp,1851.0,4.0030566623315735,11777,11777,0.009686430916190147,2.0052629753462026,4.001257419586182,13.598226455386706,24.440405828969332,103722284.48535156,6.652835117239728e-08,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
5,kinematicCloud_00027299.vtp,1852.0,5.0030566623315735,14732,14732,0.010133265517652035,2.5070026571000867,5.0041375160217285,14.248227225964309,18.253054980185713,129781599.88769531,8.324301663702296e-08,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
6,kinematicCloud_00027393.vtp,1853.0,6.0030566623315735,17684,17684,0.010432916693389416,3.0050757252148297,6.002475738525391,13.83986143736279,15.250978312336738,155722901.4970703,9.988198705597194e-08,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
7,kinematicCloud_00027490.vtp,1854.0,7.0030566623315735,20633,20633,0.010215427726507187,3.506009903152739,7.003197193145752,13.731645010032947,19.4405109746531,181726133.90429688,1.1656068041284403e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
8,kinematicCloud_00027595.vtp,1854.99,7.993056662331583,23552,23552,0.009808742441236973,4.003717061660095,7.995938777923584,14.045379288659943,18.68011713775338,207522000.88476562,1.331063678298565e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
9,kinematicCloud_00027690.vtp,1856.0,9.003056662331574,26521,26521,0.010120488703250885,4.5064572206565305,9.002321243286133,14.154492605488965,18.091613958883052,233672339.86523438,1.4987941658791346e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
10,kinematicCloud_00027790.vtp,1857.0,10.003056662331574,29449,29449,0.009596329182386398,5.0056688666301055,9.998159408569336,14.292025113172024,21.691504732725043,259548678.91015625,1.6647671946818026e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
11,kinematicCloud_00027899.vtp,1858.0,11.003056662331574,32402,32402,0.008517444133758545,5.5077081694193595,11.001401901245117,14.480369481766141,16.060297541453366,285617396.88964844,1.831974158253722e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
12,kinematicCloud_00028010.vtp,1859.0,12.003056662331574,35350,35350,0.010137401521205902,6.009029445019715,12.003235816955566,14.684977276439533,19.541082402918722,311649550.64160156,1.9989465957754162e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
13,kinematicCloud_00028108.vtp,1860.0,13.003056662331574,38294,38294,0.010529659688472748,6.50702962434104,13.000837326049805,14.718191655359156,21.704868769641134,337571700.92089844,2.1652134617128197e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
14,kinematicCloud_00028206.vtp,1860.99,13.993056662331583,41241,41241,0.010415246710181236,7.0041324145503125,13.99793529510498,14.848040070370113,19.359911394759308,363480778.94140625,2.3313964810759166e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
15,kinematicCloud_00028310.vtp,1862.0,15.003056662331574,44192,44192,0.009510237723588943,7.5040619826726545,14.998419761657715,14.58985963755924,17.282730797566234,389477839.9736328,2.4981438309230436e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
16,kinematicCloud_00028418.vtp,1862.99,15.993056662331583,47132,47132,0.009258029982447624,8.00415663913914,15.997237205505371,14.585653078271951,18.01966005870145,415431600.1386719,2.664613445343053e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
17,kinematicCloud_00028521.vtp,1864.0,17.003056662331574,50101,50101,0.00915337260812521,8.505315095231516,17.00202751159668,14.618015696653911,19.002897207682295,441540549.7480469,2.832078457994238e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
18,kinematicCloud_00028627.vtp,1865.0,18.003056662331574,53040,53040,0.00946353655308485,9.00420397647706,17.999385833740234,14.747606826589704,20.830811371987757,467456393.1386719,2.998304871013886e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
19,kinematicCloud_00028742.vtp,1866.0,19.003056662331574,55982,55982,0.008363291621208191,9.5039713457453,18.998140335083008,14.79885137770852,17.669325140972195,493408503.3388672,3.1647639024197346e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
20,kinematicCloud_00028857.vtp,1867.0,20.003056662331574,58926,58926,0.00899889413267374,10.005613898738373,19.99921417236328,14.849192017904793,20.446102037045854,519420883.03808594,3.331609507493519e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
21,kinematicCloud_00028965.vtp,1867.99,20.993056662331583,61868,61868,0.009829901158809662,10.502749192909368,20.99543571472168,14.8752146963385,21.234612823373904,545307184.6884766,3.4976464372908963e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
22,kinematicCloud_00029064.vtp,1869.0,22.003056662331574,64828,64828,0.010315263643860817,11.005433632917763,22.000198364257812,14.870747505358478,21.74060546593499,571415402.828125,3.6651067582333437e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
23,kinematicCloud_00029159.vtp,1870.0,23.003056662331574,67782,67782,0.010606486350297928,11.504764536899899,23.000513076782227,14.846743331623907,15.980370679999846,597408051.9746094,3.831825809871899e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
24,kinematicCloud_00029250.vtp,1871.0,24.003056662331574,70735,70735,0.010593453422188759,12.004544949239788,24.0010986328125,14.796973315994745,16.071368945497138,623407757.375,3.998590120920249e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
25,kinematicCloud_00029344.vtp,1872.0,25.003056662331574,73677,73677,0.010871331207454205,12.503679472689587,24.999168395996094,14.807509836573187,17.716996384989812,649342086.3945312,4.164935102328322e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
26,kinematicCloud_00029437.vtp,1873.0,26.003056662331574,76630,76630,0.010356786660850048,13.003215175881628,25.999483108520508,14.921357795503216,18.149321376782826,675334771.2490234,4.331654383001062e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
27,kinematicCloud_00029532.vtp,1873.99,26.993056662331583,79552,79552,0.010865910910069942,13.500929461002034,26.9964656829834,14.974361156623798,20.601104712895765,701143552.7910156,4.4971940922618846e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
28,kinematicCloud_00029630.vtp,1874.99,27.993056662331583,80901,80901,0.01032966934144497,13.726285277785427,27.768775939941406,15.001729093417334,18.8160577807531,712943260.5644531,4.572878416645791e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
29,kinematicCloud_00029726.vtp,1876.0,29.003056662331574,78287,78287,0.009639422409236431,13.282509966291647,26.785919189453125,15.012388356845369,18.68744672237377,689958183.5400391,4.425450187158541e-07,1.225000023841858,1.225000023841858,9.999999747378752e-06,9.999999747378752e-06
