scenario,scenario_order,sample_time_s,receptor,receptor_order,radius_m,height_m,T
Wind from 0°,1,1800.000000,N,1,200.0,70.0,6.204609400000e-39
Wind from 0°,1,1800.000000,NE,2,200.0,70.0,1.296865100000e-43
Wind from 0°,1,1800.000000,E,3,200.0,70.0,3.091027900000e-32
Wind from 0°,1,1800.000000,SE,4,200.0,70.0,2.909960400000e-20
Wind from 0°,1,1800.000000,S,5,200.0,70.0,1.623653300000e-04
Wind from 0°,1,1800.000000,SW,6,200.0,70.0,6.314933400000e-17
Wind from 0°,1,1800.000000,W,7,200.0,70.0,1.698770600000e-28
Wind from 0°,1,1800.000000,NW,8,200.0,70.0,2.858984100000e-41
Wind from 90°,2,1800.000000,N,1,200.0,70.0,1.460167300000e-33
Wind from 90°,2,1800.000000,NE,2,200.0,70.0,3.106966000000e-41
Wind from 90°,2,1800.000000,E,3,200.0,70.0,1.492941000000e-38
Wind from 90°,2,1800.000000,SE,4,200.0,70.0,1.077213400000e-41
Wind from 90°,2,1800.000000,S,5,200.0,70.0,1.433504500000e-31
Wind from 90°,2,1800.000000,SW,6,200.0,70.0,1.914028900000e-16
Wind from 90°,2,1800.000000,W,7,200.0,70.0,1.709361300000e-04
Wind from 90°,2,1800.000000,NW,8,200.0,70.0,3.822420500000e-21
Wind from 180°,3,1800.000000,N,1,200.0,70.0,1.381088800000e-04
Wind from 180°,3,1800.000000,NE,2,200.0,70.0,1.198081600000e-18
Wind from 180°,3,1800.000000,E,3,200.0,70.0,7.116951400000e-34
Wind from 180°,3,1800.000000,SE,4,200.0,70.0,7.187645400000e-41
Wind from 180°,3,1800.000000,S,5,200.0,70.0,3.116755700000e-42
Wind from 180°,3,1800.000000,SW,6,200.0,70.0,1.078521200000e-47
Wind from 180°,3,1800.000000,W,7,200.0,70.0,2.444322200000e-36
Wind from 180°,3,1800.000000,NW,8,200.0,70.0,3.192730500000e-22
Prevailing wind from 154°,4,1800.000000,N,1,200.0,70.0,1.533429800000e-06
Prevailing wind from 154°,4,1800.000000,NE,2,200.0,70.0,3.644133300000e-24
Prevailing wind from 154°,4,1800.000000,E,3,200.0,70.0,4.550420800000e-40
Prevailing wind from 154°,4,1800.000000,SE,4,200.0,70.0,1.145891500000e-49
Prevailing wind from 154°,4,1800.000000,S,5,200.0,70.0,5.194203100000e-42
Prevailing wind from 154°,4,1800.000000,SW,6,200.0,70.0,3.128828900000e-29
Prevailing wind from 154°,4,1800.000000,W,7,200.0,70.0,1.464283500000e-11
Prevailing wind from 154°,4,1800.000000,NW,8,200.0,70.0,6.331060200000e-06
