Uref_mps,distance_m,Tmax,integrated_T,y_centroid_m,z_centroid_m,y_shift_m,z_shift_m,sigma_y_m,sigma_z_m
5,50,0.00045099298586137593,0.1251276448168817,1483.5178461403611,71.39135298724032,-2.4821538596388564,1.3913529872403245,5.584972604858591,6.2792473750176905
5,100,0.00038305201451294124,0.12489710156099453,1483.4631850714045,70.72794314155936,-2.536814928595504,0.7279431415593649,6.583050004847364,7.652834132084156
5,200,0.00027886900352314115,0.12440114837984574,1482.5315863693816,69.75096868106326,-3.4684136306184428,-0.24903131893674413,9.055977059789042,9.56197443814759
5,300,0.0002101680001942441,0.12463703092631974,1481.566109667685,68.74118577304927,-4.433890332315059,-1.258814226950733,11.005130339800003,11.230830411663023
5,400,0.00015978500596247613,0.12490482435461238,1480.6931886498978,67.71063798871762,-5.30681135010218,-2.2893620112823783,12.720892698172154,12.861438412300298
5,500,0.00013249900075607002,0.12483639254541774,1480.1519967457568,67.14394088111331,-5.848003254243167,-2.856059118886691,13.906367930394726,13.95369750185557
10,50,0.0002498322573956102,0.06238474182669795,1483.2179403299037,71.66187309899898,-2.7820596700962597,1.6618730989989814,4.565181818548277,5.579580385748957
10,100,0.00022250728216022253,0.06230030789636471,1483.1700424120625,71.00237823386323,-2.8299575879375425,1.0023782338632259,5.214356910030925,6.654024006484148
10,200,0.00017537282838020474,0.0620544507705992,1482.2692680895846,70.03571026150823,-3.730731910415443,0.035710261508228314,7.309610245706922,8.0887267033394
10,300,0.00014067690062802285,0.06212385593540411,1481.3223203698378,69.06882282710548,-4.677679630162174,-0.9311771728945217,8.961851689393464,9.35061443411586
10,400,0.00011325839295750484,0.0622081237733666,1480.4647603003423,68.09372920846558,-5.535239699657723,-1.9062707915344248,10.351971085544712,10.573042236433125
10,500,9.784737630980089e-05,0.062142807581967455,1479.927358180764,67.57025715060587,-6.072641819235969,-2.429742849394131,11.270291813592928,11.343004517746374
15,50,0.000172760002897121,0.041535508994633694,1483.1195125417223,71.7756128756784,-2.8804874582776847,1.775612875678405,4.174032426983287,5.316069236978781
15,100,0.0001565183192724362,0.04148888502503607,1483.0739329438652,71.11636685480786,-2.926067056134798,1.1163668548078647,4.674177371388039,6.279392585162492
15,200,0.00012710910232272,0.041331119428840345,1482.1838000606506,70.15036751723886,-3.816199939349417,0.15036751723886255,6.631104763433242,7.533385069723016
15,300,0.00010456659947521985,0.041370183320450574,1481.2433050166221,69.19450326546412,-4.7566949833778835,-0.805496734535879,8.173819623606656,8.641540539841893
15,400,8.633113611722365e-05,0.041417531415227055,1480.3910682634023,68.23558168349773,-5.608931736597697,-1.7644183165022724,9.437660811459821,9.705087575150145
15,500,7.604906568303704e-05,0.04136840673627491,1479.8553220727215,67.72483631041825,-6.144677927278508,-2.2751636895817455,10.24895423511992,10.345861753765325
